timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-04-10,66.2600,66.5700,66.1500,66.3300,45.5727,8272100,0.0000,1.0000
2008-04-09,66.3900,66.5000,65.9400,66.2900,45.5452,8589900,0.0000,1.0000
2008-04-08,65.9800,66.6100,65.7500,66.3200,45.5658,8861100,0.0000,1.0000
2008-04-07,65.7800,66.2400,65.5000,66.1400,45.4422,8901900,0.0000,1.0000
2008-04-04,65.2400,65.9500,65.0300,65.7300,45.1605,8079600,0.0000,1.0000
2008-04-03,64.8000,65.5800,64.8000,65.2700,44.8444,7651200,0.0000,1.0000
2008-04-02,65.6000,65.9700,65.1500,65.3100,44.8719,9791500,0.0000,1.0000
2008-04-01,65.0000,65.9200,64.5100,65.8700,45.2566,11204700,0.0000,1.0000
2008-03-31,64.2900,65.0100,63.7200,64.8700,44.5696,13668500,0.0000,1.0000
2008-03-28,64.8400,65.0000,64.0600,64.1800,44.0955,8755200,0.0000,1.0000
2008-03-27,64.8500,65.2500,64.5200,64.6200,44.3978,10772200,0.0000,1.0000
2008-03-26,64.4700,64.8500,64.2100,64.7000,44.4528,11354700,0.0000,1.0000
2008-03-25,64.9200,65.1400,64.3500,64.5500,44.3497,9511900,0.0000,1.0000
2008-03-24,65.3800,65.5400,64.6400,64.8900,44.5833,9887900,0.0000,1.0000
2008-03-20,65.2500,65.4600,64.8900,65.3800,44.9200,10353600,0.0000,1.0000
2008-03-19,65.7200,65.8100,64.8400,64.8800,44.5765,6764300,0.0000,1.0000
2008-03-18,64.6500,65.3100,64.4300,65.3100,44.8719,15062200,0.0000,1.0000
2008-03-17,61.6400,64.2900,61.6400,64.0400,43.9993,21927300,0.0000,1.0000
2008-03-14,62.9000,63.3700,62.2500,62.6500,43.0443,20835000,0.0000,1.0000
2008-03-13,62.1100,63.4400,61.6600,62.8100,43.1542,15810500,0.0000,1.0000
2008-03-12,62.9000,63.1300,62.1400,62.5500,42.9756,13132300,0.0000,1.0000
2008-03-11,62.0300,62.5300,61.4900,62.4400,42.9000,13635600,0.0000,1.0000
2008-03-10,61.7000,61.7400,61.1700,61.3300,42.1374,14229400,0.0000,1.0000
2008-03-07,62.3200,62.4200,61.4000,61.5100,42.2611,14935800,0.0000,1.0000
2008-03-06,63.0900,63.3000,62.5100,62.6300,43.0306,12137700,0.0000,1.0000
2008-03-05,62.7500,63.2800,62.6400,63.1300,43.3741,13654600,0.0000,1.0000
2008-03-04,62.0800,62.8000,62.0100,62.6400,43.0374,14347700,0.0000,1.0000
2008-03-03,62.1400,62.3000,61.6200,62.2300,42.7558,8841200,0.0000,1.0000
2008-02-29,62.4600,62.7500,61.8800,61.9600,42.5702,12028300,0.0000,1.0000
2008-02-28,63.1000,63.4900,62.5000,62.7100,43.0855,8545200,0.0000,1.0000
2008-02-27,63.5000,63.8500,62.9600,63.0400,43.3123,9569700,0.0000,1.0000
2008-02-26,63.6800,64.0700,63.4000,63.7200,43.7795,9219200,0.0000,1.0000
2008-02-25,63.3400,63.9400,63.2100,63.8500,43.8688,9979000,0.0000,1.0000
2008-02-22,62.7700,63.2800,62.5000,63.1800,43.4085,10142300,0.4150,1.0000
2008-02-21,63.3500,63.5700,62.7500,62.9800,42.9887,11085000,0.0000,1.0000
2008-02-20,63.5475,63.7100,63.1100,63.2300,43.1593,13772900,0.0000,1.0000
2008-02-19,63.3700,63.8300,63.0500,63.6600,43.4528,10392600,0.0000,1.0000
2008-02-15,62.9000,63.1000,62.4500,62.9000,42.9341,11916000,0.0000,1.0000
2008-02-14,63.5700,63.6300,62.6200,62.7900,42.8590,10864100,0.0000,1.0000
2008-02-13,62.8200,63.7500,62.5900,63.4100,43.2822,11190600,0.0000,1.0000
2008-02-12,62.1100,63.1500,62.0100,62.9700,42.9818,11421300,0.0000,1.0000
2008-02-11,62.0000,62.1400,61.3600,61.8800,42.2378,11133400,0.0000,1.0000
2008-02-08,62.5600,63.1900,61.9400,62.0300,42.3402,13338800,0.0000,1.0000
2008-02-07,62.8100,63.1800,62.5000,62.8100,42.8726,13693300,0.0000,1.0000
2008-02-06,63.2000,63.3700,62.7800,63.0500,43.0365,9556900,0.0000,1.0000
2008-02-05,63.2600,63.7500,62.8000,62.8700,42.9136,11320400,0.0000,1.0000
2008-02-04,63.3600,63.7100,63.0000,63.4700,43.3231,7976200,0.0000,1.0000
2008-02-01,63.3100,64.0900,62.7500,63.3600,43.2481,11780400,0.0000,1.0000
2008-01-31,61.9500,63.3900,61.7200,63.1400,43.0979,21274200,0.0000,1.0000
2008-01-30,62.7600,63.0000,62.0000,62.1799,42.4425,13653300,0.0000,1.0000
2008-01-29,63.3600,63.3900,62.8300,62.9700,42.9818,10074000,0.0000,1.0000
2008-01-28,62.5700,63.1300,62.5000,63.0700,43.0501,10182000,0.0000,1.0000
2008-01-25,63.5400,63.9900,62.3400,62.4600,42.6337,23938400,0.0000,1.0000
2008-01-24,64.3300,64.5400,63.3400,63.5100,43.3504,18084400,0.0000,1.0000
2008-01-23,65.2400,65.5700,62.1300,64.2000,43.8214,22843600,0.0000,1.0000
2008-01-22,65.3100,66.7500,64.5000,65.2700,44.5518,29488900,0.0000,1.0000
2008-01-18,67.9500,68.1600,66.0100,66.2900,45.2480,22716600,0.0000,1.0000
2008-01-17,68.3700,68.5600,67.5800,67.8300,46.2992,18336600,0.0000,1.0000
2008-01-16,67.3300,68.8500,67.3300,68.3100,46.6268,18310300,0.0000,1.0000
2008-01-15,67.4700,68.1700,67.4500,67.7600,46.2514,11545300,0.0000,1.0000
2008-01-14,67.8900,68.2900,67.3100,67.9500,46.3811,11661600,0.0000,1.0000
2008-01-11,67.4500,68.0300,67.3400,67.8800,46.3333,15541800,0.0000,1.0000
2008-01-10,67.4300,68.2300,67.3500,67.9100,46.3538,13043400,0.0000,1.0000
2008-01-09,67.3000,68.2900,66.9900,67.8000,46.2787,19489900,0.0000,1.0000
2008-01-08,66.7500,67.7500,66.6000,66.9400,45.6917,13478500,0.0000,1.0000
2008-01-07,66.0100,67.2100,65.7500,66.8600,45.6371,12352700,0.0000,1.0000
2008-01-04,65.7200,66.4000,65.7200,65.8400,44.9408,12714800,0.0000,1.0000
2008-01-03,65.4000,66.4000,65.3600,65.9300,45.0023,9277600,0.0000,1.0000
2008-01-02,66.5600,67.0000,65.7200,65.9100,44.9886,11970500,0.0000,1.0000
2007-12-31,67.2900,67.3300,66.5500,66.7000,45.5279,8515000,0.0000,1.0000
2007-12-28,67.6000,67.9300,67.0300,67.3800,45.9920,5279200,0.0000,1.0000
2007-12-27,67.4500,67.9800,67.0100,67.3300,45.9579,7623400,0.0000,1.0000
2007-12-26,67.9800,67.9900,67.3620,67.5600,46.1149,6399800,0.0000,1.0000
2007-12-24,67.6100,68.3000,67.5900,67.8700,46.3265,2772000,0.0000,1.0000
2007-12-21,67.4200,68.1900,67.3500,68.0300,46.4357,19689500,0.0000,1.0000
2007-12-20,67.6600,67.6800,67.2300,67.3300,45.9579,11029400,0.0000,1.0000
2007-12-19,67.5900,67.7500,67.2100,67.3200,45.9511,8853900,0.0000,1.0000
2007-12-18,67.8000,67.9000,67.1800,67.7100,46.2173,12275400,0.0000,1.0000
2007-12-17,67.5500,67.7600,67.2100,67.5500,46.1080,12357700,0.0000,1.0000
2007-12-14,67.5800,67.9300,67.3900,67.5900,46.1354,9492100,0.0000,1.0000
2007-12-13,67.5000,68.0000,67.4200,67.8700,46.3265,7775900,0.0000,1.0000
2007-12-12,68.0000,68.4000,67.0200,67.7000,46.2104,19269400,0.0000,1.0000
2007-12-11,67.7900,67.9700,67.4800,67.5500,46.1080,10231500,0.0000,1.0000
2007-12-10,67.6250,68.0000,67.4500,67.7900,46.2719,8315100,0.0000,1.0000
2007-12-07,68.3000,68.5000,67.5800,67.6800,46.1968,12058400,0.0000,1.0000
2007-12-06,68.1900,68.3700,67.7500,68.3000,46.6200,7604500,0.0000,1.0000
2007-12-05,68.0900,68.2500,67.4500,68.2100,46.5585,9752700,0.0000,1.0000
2007-12-04,67.4400,68.2100,67.4000,67.9400,46.3743,8107400,0.0000,1.0000
2007-12-03,67.4700,68.0800,67.3000,67.7100,46.2173,9768100,0.0000,1.0000
2007-11-30,68.5400,68.7500,67.2000,67.7400,46.2377,16655400,0.0000,1.0000
2007-11-29,68.0000,68.6600,67.5600,68.4000,46.6882,11035900,0.0000,1.0000
2007-11-28,67.8900,68.4800,67.0600,68.3500,46.6541,15187400,0.0000,1.0000
2007-11-27,67.4500,67.8800,67.2300,67.7300,46.2309,15183000,0.0000,1.0000
2007-11-26,66.5900,68.0800,66.3900,67.3700,45.9852,15977400,0.0000,1.0000
2007-11-23,67.4000,67.4000,66.1700,66.8800,45.6507,5964700,0.4150,1.0000
2007-11-21,67.3600,67.6500,66.9400,67.1400,45.5456,14971600,0.0000,1.0000
2007-11-20,67.8300,67.9500,67.2000,67.6400,45.8848,15463500,0.0000,1.0000
2007-11-19,67.4600,68.0100,67.4400,67.5900,45.8508,19230900,0.0000,1.0000
2007-11-16,67.2000,67.7800,66.5800,67.7500,45.9594,15135600,0.0000,1.0000
2007-11-15,66.7600,67.3000,66.5400,66.8800,45.3692,11491600,0.0000,1.0000
2007-11-14,67.2000,67.3000,66.7500,66.8900,45.3760,12128500,0.0000,1.0000
2007-11-13,66.7300,67.3500,66.5300,67.3100,45.6609,16501000,0.0000,1.0000
2007-11-12,65.0000,66.9500,64.9800,66.3100,44.9825,17582900,0.0000,1.0000
2007-11-09,63.8500,65.7500,63.8500,65.1600,44.2024,16168600,0.0000,1.0000
2007-11-08,63.9700,64.8900,63.9500,64.5900,43.8157,16433400,0.0000,1.0000
2007-11-07,64.1000,64.5300,63.7300,63.9100,43.3544,10751600,0.0000,1.0000
2007-11-06,64.4900,64.8900,64.1500,64.6100,43.8293,7820100,0.0000,1.0000
2007-11-05,64.0100,64.8600,64.0100,64.4900,43.7479,10137400,0.0000,1.0000
2007-11-02,64.7300,65.0000,64.3600,64.7800,43.9446,9896700,0.0000,1.0000
2007-11-01,64.8000,65.3800,64.5200,64.6600,43.8632,11156800,0.0000,1.0000
2007-10-31,64.8300,65.2500,64.6000,65.1700,44.2092,10547400,0.0000,1.0000
2007-10-30,64.8000,65.2700,64.7500,64.8200,43.9718,7698400,0.0000,1.0000
2007-10-29,64.4500,65.4600,64.3000,64.9800,44.0803,12797700,0.0000,1.0000
2007-10-26,64.1800,64.6000,63.8200,64.3000,43.6190,9531300,0.0000,1.0000
2007-10-25,64.4200,64.4500,63.7300,63.9500,43.3816,10605500,0.0000,1.0000
2007-10-24,64.3300,64.5200,63.7300,64.4400,43.7140,11114300,0.0000,1.0000
2007-10-23,64.4000,64.6000,63.9600,64.5500,43.7886,7727900,0.0000,1.0000
2007-10-22,64.3000,64.3900,63.5500,64.3400,43.6461,11153100,0.0000,1.0000
2007-10-19,64.5800,65.0000,64.1600,64.2300,43.5715,15297000,0.0000,1.0000
2007-10-18,65.2400,65.3200,64.6900,64.9000,44.0260,13529500,0.0000,1.0000
2007-10-17,65.5500,65.5800,64.7200,64.8500,43.9921,10198300,0.0000,1.0000
2007-10-16,65.7700,66.0000,64.6100,65.0700,44.1414,14314900,0.0000,1.0000
2007-10-15,65.9500,66.1600,65.4100,65.6500,44.5348,9198100,0.0000,1.0000
2007-10-12,66.1700,66.2400,65.8100,65.9400,44.7315,7025800,0.0000,1.0000
2007-10-11,65.9800,66.2300,65.8300,65.9500,44.7383,10369200,0.0000,1.0000
2007-10-10,66.2700,66.3000,65.6700,65.8300,44.6569,8523900,0.0000,1.0000
2007-10-09,66.1000,66.2700,65.9400,66.2500,44.9418,7639500,0.0000,1.0000
2007-10-08,66.2500,66.3800,65.9500,66.0200,44.7858,5678900,0.0000,1.0000
2007-10-05,66.3000,66.4000,66.2000,66.2500,44.9418,9407400,0.0000,1.0000
2007-10-04,66.1000,66.3500,66.0000,66.1100,44.8469,8741800,0.0000,1.0000
2007-10-03,65.8700,66.8000,65.8200,66.1000,44.8401,9377800,0.0000,1.0000
2007-10-02,66.1600,66.3400,65.8800,66.0500,44.8062,9839400,0.0000,1.0000
2007-10-01,65.6600,66.2000,65.6600,66.1400,44.8672,12568700,0.0000,1.0000
2007-09-28,65.5500,65.7500,65.3400,65.7000,44.5687,8857800,0.0000,1.0000
2007-09-27,65.3800,65.7500,65.3500,65.5400,44.4602,9074100,0.0000,1.0000
2007-09-26,65.0200,65.6342,64.8600,65.3900,44.3584,12518700,0.0000,1.0000
2007-09-25,64.8000,65.3400,64.7500,64.9700,44.0735,10084900,0.0000,1.0000
2007-09-24,64.9800,65.5500,64.7500,65.2000,44.2295,12256700,0.0000,1.0000
2007-09-21,64.9000,65.5600,64.7900,65.1200,44.1753,17638200,0.0000,1.0000
2007-09-20,64.5000,65.0000,64.1800,64.7900,43.9514,12079500,0.0000,1.0000
2007-09-19,63.7600,64.7750,63.6500,64.4900,43.7479,17955900,0.0000,1.0000
2007-09-18,62.9700,63.9500,62.9400,63.8300,43.3002,12653400,0.0000,1.0000
2007-09-17,63.0200,63.3300,62.7000,62.9400,42.6964,11085700,0.0000,1.0000
2007-09-14,62.9900,63.3200,62.8700,63.2000,42.8728,9369200,0.0000,1.0000
2007-09-13,62.6800,63.2700,62.5700,63.1100,42.8118,13499000,0.0000,1.0000
2007-09-12,62.0000,62.6700,61.9500,62.5100,42.4047,11635100,0.0000,1.0000
2007-09-11,61.9800,62.1400,61.7200,62.0500,42.0927,9942900,0.0000,1.0000
2007-09-10,61.8500,61.9800,61.5700,61.8400,41.9502,10176500,0.0000,1.0000
2007-09-07,61.5100,62.0300,61.2600,61.6800,41.8417,13553000,0.0000,1.0000
2007-09-06,61.7000,61.9000,61.6100,61.6600,41.8281,7724400,0.0000,1.0000
2007-09-05,61.8500,61.9700,61.4500,61.6500,41.8213,11283800,0.0000,1.0000
2007-09-04,61.6300,62.0500,61.6000,61.9800,42.0452,9167600,0.0000,1.0000
